Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Mirror Case with Filled Diagonal Lattice,Unidentified Artist,Unknown Date,30.75.788,Silk embroidery on silk gauze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP255298.jpg
Square Cup,Unidentified Artist,Unknown Date,24.80.430,Painted enamel,China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_80_429_432.JPG
Vase with dragon,Unidentified Artist,late 17th–early 18th century,14.40.180,"Porcelain painted in polychrome enamels over black ground (Jingdezhen ware, famille noire)",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-24604-001.jpg
Imperial Court Robe,Unidentified Artist,early 19th century,61.97.1,"Silk, metallic thread on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/172654.jpg
Plate,Unidentified Artist,Unknown Date,79.2.1264,Porcelain painted in overglaze famille rose enamels,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_1264_O1_sf.jpg
Headdress Ornament,Unidentified Artist,18th–19th century,15.95.188,"Gold, feathers, jade, pearls, topaz, carnelian, pink quartan",China,https://images.metmuseum.org/CRDImages/as/mobile-large/15_95_188_99524.JPG
Covered jar with plum blossoms (one of a pair),Unidentified Artist,late 17th–early 18th century,"29.100.303a, b",Porcelain painted in underglaze cobalt blue (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-29_100_303ab_whs-003.jpg
Vase,Unidentified Artist,Unknown Date,02.18.524,"Jadeite, translucent aquamarine clouded and flecked with snow",China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_524_O3.jpg
Jar with Cover (one of a pair),Unidentified Artist,Unknown Date,"14.40.1a, b",Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/23380.jpg
Cup with a scholar and monk,Unidentified Artist,late 17th–early 18th century,79.2.421,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/28297.jpg
Jar,Unidentified Artist,late 18th–first half of the 19th century,79.2.1138,Porcelain with iron-rust glaze and gilt decoration,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_1138_O1_sf.jpg
Vase with cover,Unidentified Artist,Unknown Date,"02.18.548a, b",Nephrite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/14919.jpg
Temple Vase with Dragons amid Flowers,Unidentified Artist,late 16th–early 17th century,19.160,Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14609-003.jpg
Jar,Unidentified Artist,Unknown Date,1985.220.2,Stoneware with brown-black glaze (Cizhou ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/1985_220_2_O_sf.jpg
Cover with three ring handles,Unidentified Artist,3rd–2nd century BC,18.56.12,Gilt bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/18_56_12_39036.jpg
Wang Xizhi watching geese,Qian Xuan,ca. 1295,1973.120.6,"Handscroll; ink, color, and gold on paper",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP273822.jpg
Child&#39;s rank badge,Unidentified Artist,18th century,59.97.5,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/169283.jpg
