Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Vase,Unidentified Artist,first half of the 19th century,79.2.346,Porcelain with dark blue glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_346_O1_sf.jpg
Piece,Unidentified Artist,18th–19th century,96.14.441,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP11909.jpg
Woods and Valleys of Mount Yu,Ni Zan,dated 1372,1973.120.8,Hanging scroll; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-19459-002.jpg
Thanka with Buddha,Unidentified Artist,19th century,1971.24.1,Distemper on cloth,Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/1971_24_1_O2.jpg
Sleeve Band,Unidentified Artist,19th century,30.75.303,"Silk, metallic thread; on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/78874.jpg
Vase,Unidentified Artist,Unknown Date,17.122.3,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/36462.jpg
Hook with Horned Feline,Unidentified Artist,3rd century BCE,2002.201.169,Gilded bronze,North China,https://images.metmuseum.org/CRDImages/as/mobile-large/2002_201_169_O.jpg
Shadow player,Unidentified Artist,19th century,20.31.11,"Donkey skin, cord",China,https://images.metmuseum.org/CRDImages/as/mobile-large/20_31_11.JPG
A Large Landscape,Unidentified artist,Unknown Date,13.220.27,Hanging scroll; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_220_27_d1.jpg
Vase with figures by a lotus pond,Unidentified Artist,late 18th–early 19th century,79.2.1206,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_1206_O1_sf.jpg
Bowl,Unidentified Artist,Unknown Date,23.93.2,Pottery (Ding ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/23_93_2_52795.jpg
Bowl,Unidentified Artist,Unknown Date,24.80.561,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_80_561_57289.jpg
Votive Tablet with Twenty-Five Buddhas,Unidentified Artist,Unknown Date,69.227.1,Buff clay,China,https://images.metmuseum.org/CRDImages/as/mobile-large/12707.jpg
"Vase with Mythical Creature Chasing Pearl

",Unidentified Artist,early 18th century,14.40.275,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)
",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14605-066.jpg
Vase with Flowers,Unidentified Artist,Unknown Date,02.18.749,"Nephrite, white of light greenish tint, and other colors",China,https://images.metmuseum.org/CRDImages/as/mobile-large/10000.jpg
Desk screen with landscape,Unidentified Artist,late 18th century,79.2.747,"Porcelain painted in overglaze polychrome enamels (Jingdezhen ware), wooden frame stand",China,https://images.metmuseum.org/CRDImages/as/mobile-large/28643.jpg
Elegant Gathering in the Apricot Garden,Xie Huan,ca. 1437,1989.141.3,Handscroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/5TH-7580-ENG-41478-1.mp3
Shellac Specimen for Jade Carving,Unidentified Artist,20th century,1981.296.38,Shellac,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1981_296_38_O1.jpg
Bamboo,Kuang Xü,printed 1922,CP257,Hanging scroll of polychrome woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP257-001.jpg
"Vessel with dragon frieze
",Unidentified Artist,13th century,2017.132,Silver,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-2017_132_001.jpg
Snuff Bottle,Unidentified Artist,19th century,91.1.1177,Glass,China,https://images.metmuseum.org/CRDImages/as/mobile-large/91_1_1177_O1.jpg
Conference of Six States in the Warring States Period (ca. 481–221 B.C.),Unidentified artist,Unknown Date,42.150.1,Framed painting; color on glass,China,https://images.metmuseum.org/CRDImages/as/mobile-large/42_150_1.jpg
Bodhisattva Guanyin,Unidentified Artist,15th–16th century,12.37.160,Leaded brass,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP163957.jpg
Inkstone with Topographical Map of Duanxi,Unidentified Artist,19th century,2015.500.6.19,Duanxi slate,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP701716.jpg
Cup,Unidentified Artist,ca. 1600,08.212.9,Rhinoceros horn,China,https://images.metmuseum.org/CRDImages/as/mobile-large/08_212_9_O1.jpg
Double Vase,Unidentified Artist,Unknown Date,79.2.952,Porcelain with a clair-de-lune glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/29771.jpg
Shard (Study Collection),Unidentified Artist,Unknown Date,1982.464.13,Blue-and-white porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1982_464_13.jpg
Incense holder,Unidentified Artist,18th century,2015.500.6.3,Bamboo,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP353886.jpg
Round Box,Unidentified Artist,Unknown Date,"64.32a, b","Lacquer, mother-of-pearl",China,https://images.metmuseum.org/CRDImages/as/mobile-large/64_32ab_O1.JPG
Ornaments,Unidentified Artist,Unknown Date,23.183.10,Gold,China,https://images.metmuseum.org/CRDImages/as/mobile-large/23_183_10_O.jpg
Landscape with Sailboats,Shen Zhou,Unknown Date,69.131.12,Album leaf; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP156828.jpg
Sword,Unidentified Artist,ca. 4th–3rd century BCE,1992.298.2,Bronze with inlay of turquoise,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP203282.jpg
Hunter and Wild Geese,Unidentified artist,Unknown Date,43.143.1,Album leaf; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP156842.jpg
Piece,Unidentified Artist,18th century,20.148.414,Silk / Compound weave,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP15891.jpg
Brush Pot with Scene of  Washing an Elephant,Unidentified Artist,mid-17th century,2008.80,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP158914.jpg
Dagger,Unidentified Artist,Unknown Date,23.183.3,Ivory,China,https://images.metmuseum.org/CRDImages/as/mobile-large/23_183_3_O1.jpg
Foliated dish with floral scrolls,Unidentified Artist,early 15th century,1993.338,Cloisonné enamel,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DT7072.jpg
Cup (from a set of eight),Unidentified Artist,Unknown Date,79.2.1150,"Porcelain with iron-red glaze, painted in overglaze polychrome enamels",China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_1150_O2_sf.jpg
Rank Badge with Peacock,Unidentified Artist,late 18th–early 19th century,30.75.902,"Silk, metallic thread",China,https://images.metmuseum.org/CRDImages/as/mobile-large/79802.jpg
Jar with Female Rider,Unidentified Artist,mid-17th century,"79.2.269a, b",Porcelain painted with cobalt blue under a transparent glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_269ab_O1_sf.jpg
Seal,Unidentified Artist,Unknown Date,19.168,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/19_168_O1.jpg
Scholar Seated in Grove,Unidentified artist,Unknown Date,13.220.17,Hanging scroll; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_220_17_O.jpg
Pill box,Unidentified Artist,late 19th century,"65.86.140a, b",Ivory,China,https://images.metmuseum.org/CRDImages/as/mobile-large/183839.jpg
Bead,Unidentified Artist,Unknown Date,13.40.76,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_40_76_15257.jpg
Statue of Guanyin,Unidentified Artist,Unknown Date,30.54,Wood,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_54_F.JPG
Amulet (Wheel),Unidentified Artist,Unknown Date,02.18.567,Nephrite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/32956.jpg
Snuff Bottle,Unidentified Artist,19th century,"14.40.538a, b",Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_538_O1.jpg
Knife Coin,Unidentified Artist,Unknown Date,24.13.12,Bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP167663.jpg
Belt Hook,Unidentified Artist,Unknown Date,51.134.3,Bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP167727.jpg
Oracle bone fragment,Unidentified Artist,Unknown Date,18.56.79,Inscribed bone,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-18_56_79_002.jpg
Vase with Dragons and Bats amid Clouds,Unidentified Artist,Unknown Date,14.40.173,Porcelain with incised decoration under turquoise glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP246451.jpg
Goose (Hamsa) with Floral Tail,Unidentified Artist,6th–7th century,30.32.8,Stucco with color,China (Xinjiang Autonomous Region),https://images.metmuseum.org/CRDImages/as/mobile-large/DP269545.jpg
Bowl with character of longevity (shou),Unidentified Artist,late 16th–early 17th century,16.46.4,Porcelain painted in underglaze cobalt blue (Jingdezhen ware,China,https://images.metmuseum.org/CRDImages/as/mobile-large/16_46_4_O1_sf.jpg
Girdle ornament,Unidentified Artist,Unknown Date,16.144.13,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/34734.jpg
Poem on reclusion,Zha Sheng,late 17th or early 18th century,2007.55,Hanging scroll; ink on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP146563.jpg
Figure of a woman,Unidentified Artist,4th–3rd century BCE,43.56.3,Baked clay,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-43_56_3_001.jpg
Covered jar with animal masks,Unidentified Artist,19th century,"09.70.67a, b",Porcelain painted in overglaze polychrome enamels (Bencharong ware for Thai market ),China,https://images.metmuseum.org/CRDImages/as/mobile-large/86661.jpg
Girdle pendant,Unidentified Artist,Unknown Date,11.190.52,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/11_190_52_11791.jpg
Girdle ornament,Unidentified Artist,Unknown Date,11.190.185,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/11_190_185_11823.jpg
Snuff Bottle,Unidentified Artist,Unknown Date,"21.175.155a, b",Blue agate with red glass stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/21_175_155ab_O1.jpg
Imperial Court Robe,Unidentified Artist,Unknown Date,45.116.1,"Silk, metallic thread",China,https://images.metmuseum.org/CRDImages/as/mobile-large/135160.jpg
Seal,Unidentified Artist,Unknown Date,19.19.14,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/19_19_14_O1.jpg
Snuff bottle,Unidentified Artist,Unknown Date,"21.175.313a, b","Onyx with jasper grasshopper, glass stopper",China,https://images.metmuseum.org/CRDImages/as/mobile-large/21.175.313.JPG
Snuff Bottle,Unidentified Artist,19th century,"21.175.325a, b","Two mother-of-pearl shells in silver mounting, pearl stopper",China,https://images.metmuseum.org/CRDImages/as/mobile-large/21_175_325ab_O1.jpg
Earring or bonnet-pendant,Unidentified Artist,Unknown Date,13.40.111,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/15316.jpg
Right hand of Buddha,Unidentified Artist,ca. 550–560,30.81,Limestone with pigment and gilding,"China (Northern Xiangtangshan, North Cave)",https://images.metmuseum.org/CRDImages/as/mobile-large/DP170110.jpg
Meiping vase with birds and flowers,Unidentified Artist,late 18th century,79.2.585,"Porcelain painted with overglaze polychrome enamels, with engraved decoration (Jingdezhen ware)",China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_585_O1_sf.jpg
The Intertwining Green Court,Jian Guzhai,late 19th–early 20th century,30.76.252,Ink,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_252_F.jpg
Sutra Cover,Unidentified Artist,17th century,46.186.79,"Silk, metallic thread",China,https://images.metmuseum.org/CRDImages/as/mobile-large/176132.jpg
Misty Bamboo on a Distant Mountain,Zheng Xie,dated 1753,1990.322a–d,Set of four hanging scrolls; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DT6515.jpg
Scabbard ornament,Unidentified Artist,Unknown Date,11.190.252,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/11_190_252_11844.jpg
Octagonal Vase,Unidentified Artist,Unknown Date,31.54.3,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/83190.jpg
Snuff Bottle,Unidentified Artist,19th century,"1971.117.10a, b",Agate,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1971_117_10_S1.JPG
Piece,Unidentified Artist,18th century,20.148.546,Silk / Compound weave,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP15432.jpg
Covered bottle with floral scrolls (one of a pair),Unidentified Artist,18th century,"35.80.56a, b",Porcelain painted with overglaze red enamel (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/35_80_56ab_O1_sf.jpg
Bottle vase,Unidentified Artist,18th century,66.206.18,Porcelain with crackled green glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-66_206_18_whs-003.jpg
"Jar with Peony Scroll

",Unidentified Artist,11th–12th century,13.195.2,"Stoneware with carved decoration under celadon glaze (Yaozhou ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14609-072.jpg
"Ascetic Master, probably a Mahasiddha",Unidentified Artist,17th century,2004.81,Brass with pigment,Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/DP238951.jpg
Fragment,Unidentified Artist,Unknown Date,02.18.90,"Nephrite, yellow and greenish yellow",China (possibly Turkestan),https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_90 Fragment.JPG
"Snuff Bottle with Mottled Surface

",Unidentified Artist,late 18th–early 19th century,"21.175.271a, b",Mottled black glass with jadeite stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP300771.jpg
Pilgrim Bottle,Unidentified Artist,late 16th century–early 17th century,29.110.29,Cloisonne enamel on gilt copper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/29_110_29_74177.jpg
Skirt,Unidentified Artist,18th–19th century,30.75.94,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/78731.jpg
"Jar with Spiral Decoration and Cross Hatching

",Unidentified Artist,Machang type (ca. 2350–2050 BCE),1994.605.131,"Earthenware with pigment



",China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-1994_605_131_005.jpg
Snuff bottle with stopper,Unidentified Artist,Unknown Date,"02.18.418a, b",Nephrite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/18681.jpg
Set of Four Cups,Unidentified Artist,Unknown Date,13.220.55a–d,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_220_55ah.JPG
Panel,Unidentified Artist,18th century,62.97.35,"Silk, paint;  on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/SC96935.jpg
Pot with Flowering Plant,Unidentified Artist,Unknown Date,02.18.753,Nephrite,China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_753 Flowering Plant.JPG
Figure of a Lion,Unidentified Artist,Unknown Date,14.40.96,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP257812.jpg
Woman&#39;s Wedding Coat,Unidentified Artist,Unknown Date,45.116.2,"Silk, metallic thread on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/45_116_2_F.JPG
Fan Case with Bottle Gourds and Vines,Unidentified Artist,18th–19th century,30.75.831,Silk and metallic-thread tapestry (kesi),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP255301.jpg
Snuff Bottle,Unidentified Artist,Unknown Date,14.40.524,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/14_40_524_O1.jpg
Cabinet with figures in a landscape,Unidentified Artist,18th century,2015.500.1.10a–e,Carved red lacquer; gilt bronze fittings,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP704254.jpg
Scabbard slide,Unidentified Artist,3rd century BCE,2008.280,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP162881.jpg
Sleeve Band,Unidentified Artist,19th century,30.75.612,Textiles-Embroidered,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79578.jpg
Pillow Cover,Unidentified Artist,19th century,27.32.3,Silk;  on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/66694.jpg
Vase with dragon and phoenix,Unidentified Artist,early 18th century,14.40.271,Soft-paste porcelain with underglaze cobalt blue (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-14_40_271_whs-002.jpg
Square Cup,Unidentified Artist,19th century,24.80.423,Painted enamel,China,"https://images.metmuseum.org/CRDImages/as/mobile-large/24_80_419, 423.JPG"
Jar,Unidentified Artist,Unknown Date,"29.149.70a, b","Porcelain decorated in underglaze blue, with crackled glaze",China,https://images.metmuseum.org/CRDImages/as/mobile-large/75497.jpg
Scholar Admiring Autumn Scenery,Unidentified artist,late 15th–early 16th century,13.220.8,Hanging scroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_220_8_20108.jpg
Leaf  from the Mustard Seed Garden Manual of Painting (Jieziyuan huazhuan),Wang Gai,probably 1878 edition,CP7,Woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/CP7.jpg
Plate with two deer amid flowers,Unidentified Artist,12th–13th century,18.69.1,Porcelain with mold-impressed decoration under ivory white glaze (Ding ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DT258469.jpg
Landscape with Man Crossing Bridge,Fan Hong,Unknown Date,42.200.7,Miniature from album of eleven paintings; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP154507.jpg
Covered bottle with cloud scrolls,Unidentified Artist,14th century,"2015.500.6.26a, b",Silver with incised designs,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP353623.jpg
Towing a Boat in a Rainstorm,Unidentified artist,late 12th century,47.18.83,Fan mounted as an album leaf; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153500.jpg
"Plate with fairies, deer, and bats",Unidentified Artist,Unknown Date,63.213.13,Porcelain painted with overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/63_213_13.jpg
Snuff bottle with scene of a lotus pond,Unidentified Artist,late 18th–early 19th century,"14.40.454a, b",Overlay glass with coral stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP293335.jpg
"Luohan, after a set attributed to Guanxiu",Unidentified,stone carved in 1757; rubbing 18th or 19th century?,59.195.17,Ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-18070-017.jpg
"Dish with immortals playing weiqi



",Unidentified Artist,1425–1436,2015.500.1.33,"Carved red and green lacquer

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP256090.jpg
Frog pendant,Unidentified Artist,13th–10th century BCE,1985.214.95,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-1985_214_95_001.jpg
Jar,Unidentified Artist,first half of the 19th century,79.2.87,Porcelain with red glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/28689.jpg
"Dish with hexafoil rim
",Unidentified Artist,11th–12th century,1990.291.2,Porcelain with incised design under ivory-white glaze (Ding ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/1990_291_2_O1.jpg
Beaker,Unidentified Artist,Unknown Date,50.145.293,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/50_145_293_148358.jpg
Page from Shi Zhu Zhai,Unidentified Artist,Unknown Date,CP85,Polychrome woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP85_001.jpg
Wall Vase,Unidentified Artist,late 18th–19th century,79.2.960,Cloisonné enamel,China,https://images.metmuseum.org/CRDImages/as/mobile-large/29468.jpg
Folding Chair,Unidentified Artist,16th century,1973.34,Wood,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1973_34.JPG
Double vase,Unidentified Artist,early 19th century,65.86.74a–c,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/183480.jpg
"Hen, Cock and Chickens",Unidentified artist,Unknown Date,47.18.98,Handscroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/47_18_98_d.jpg
The Last Three Months of the Year,Ding Liangxian,Unknown Date,CP3,Polychrome woodblock print; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP302934.jpg
Folding Case with Characters for Longevity (Shou and Kao),Unidentified Artist,18th–19th century,30.75.757,Silk and metallic thread embroidery on silk gauze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP225674.jpg
Mahakala Seated in Royal Ease,Unidentified Artist,12th century,2015.500.4.17,"Stone with polychrome
",Tibet,https://images.metmuseum.org/CRDImages/as/mobile-large/37 DP310532R1_61D.jpg
Ornament in the Shape of an Animal Head,Unidentified Artist,3rd–1st century BCE,1985.214.83,Bronze,North China,https://images.metmuseum.org/CRDImages/as/mobile-large/1985_214_83.JPG
Landscapes of Taiping Prefecture,Xiao Yuncong,ca. 1650,CIB8,Woodblock-printed books; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/CIB8_d1.jpg
Water vessel,Unidentified Artist,Unknown Date,18.56.20,Stoneware with glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/18_56_20_S2_sf.jpg
Wine Warmer (Jiao),Unidentified Artist,13th–11th century BCE,"46.55.2a, b",Bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP140801.jpg
Water dropper,Unidentified Artist,Unknown Date,65.86.44,Stoneware with blue-grey glaze (Jun ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/65_86_44_O1_sf.JPG
Carved bone fragment,Unidentified Artist,13th–11th century BCE,1985.214.120,Bone,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1985_214_120.jpg
Album Containing Twelve Paintings of Insects,Unidentified artist,19th century,58.79.2,Album of twelve leaves; color on pith paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP156874.jpg
Incense Burner,Unidentified Artist,late 17th–early 18th century,X.23,Brass,China,https://images.metmuseum.org/CRDImages/as/mobile-large/X_23.JPG
Wintery Bough and Magpies,Unidentified artist,Unknown Date,47.18.35,Fan mounted as an album leaf; ink and white pigment on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153560.jpg
Jar,Unidentified Artist,Unknown Date,23.15.1,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/23_15_1_O1_sf.jpg
Bird on a Rock by a Flowering Branch,Ren Xun,dated 1879,1986.267.46,Folding fan mounted as an album leaf; ink and color on alum paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP161417.jpg
Landscape in the Style of Ni Zan,Unidentified artist,"18th century or later, spurious date of 1715",13.100.44,Folding fan mounted as an album leaf; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153894.jpg
Landscapes,Dai Benxiao,late 17th century,1989.142a–l,Album of twelve leaves; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP160517.jpg
Roof Tile,Unidentified Artist,Unknown Date,11.81,Pottery,China,https://images.metmuseum.org/CRDImages/as/mobile-large/10878.jpg
Covered Vase,Unidentified Artist,18th century,"50.145.86a, b",Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/50_145_86ab_O1.jpg
One of Pair of Rice Bowls,Unidentified Artist,Unknown Date,02.18.692,"Nephrite, white with light greenish tint",China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_692_14957.jpg
Meiping vase,Unidentified Artist,18th century,14.40.71,Porcelain with copper red glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-14_40_71_whs-001.jpg
Model of a Belthook,Unidentified Artist,20th century,1985.214.137,Earthenware with painted decoration (Hu xian ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/237225.jpg
Jar,Unidentified Artist,14th century,1985.334.2,Porcelain painted in underglaze blue,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1985_334_2.jpg
Sacrificial Vessel with Cover,Unidentified Artist,18th century,"02.18.836a, b",Rock crystal,China,https://images.metmuseum.org/CRDImages/as/mobile-large/17109.jpg
Skirt,Unidentified Artist,19th century,30.75.96,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/78695.jpg
Figure of Entertainer,Unidentified Artist,Unknown Date,36.12.10,Pottery with slip and traces of red paint,China,https://images.metmuseum.org/CRDImages/as/mobile-large/102726.jpg
Vase with Nine Peaches,Unidentified Artist,Unknown Date,17.120.194,"Porcelain painted with colored enamels over transparent glaze (Jingdezhen ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP249036.jpg
Boy riding a hobbyhorse,Unidentified Artist,18th century,42.90.64,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-15968-029.jpg
Sleeve Band,Unidentified Artist,19th century,30.75.147,"Silk, metallic thread;  on silk ",China,https://images.metmuseum.org/CRDImages/as/mobile-large/78777.jpg
Flower vase,Unidentified Artist,Unknown Date,02.18.583,"Nephrite, white with very light greenish-gray tint",China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_583_O2.jpg
Happy Return from the West,Unidentified artist,Unknown Date,47.18.115,Handscroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP202571_CRD.jpg
Figure of a Dog,Unidentified Artist,Unknown Date,13.40.128,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_40_128_15198.jpg
Chopstick,Unidentified Artist,Unknown Date,22.79.8,"Metal, silver?",China,https://images.metmuseum.org/CRDImages/as/mobile-large/22_79_7-10.JPG
Pendant,Unidentified Artist,Unknown Date,02.18.474,"Nephrite, white with faint greenish tint",China,https://images.metmuseum.org/CRDImages/as/mobile-large/32970.jpg
Two Bowls,Unidentified Artist,2nd–3rd century,2015.500.1.86a–d,Black lacquer painted with red lacquer,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP704200.jpg
Snuff Bottle,Unidentified Artist,Unknown Date,"29.149.88a, b",Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/29_149_88.jpg
Dish with character for longevity (shou),Unidentified Artist,mid-16th century,2015.500.1.41,Carved red lacquer,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP704215.jpg
Landscape,Unidentified artist,Unknown Date,23.33.2,Album leaf; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP160906.jpg
Calligraphy,Wen Zhongyi,mid-16th century,13.100.48,Folding fan mounted as an album leaf; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153863.jpg
Jar,Unidentified Artist,Unknown Date,29.100.258,Porcelain,China,https://images.metmuseum.org/CRDImages/as/mobile-large/75844.jpg
Fragment,Unidentified Artist,Unknown Date,02.18.95,"Nephrite, yellow and greenish yellow",China (possibly Turkestan),https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_95 Fragment.JPG
Mirror with symbols of the four cardinal directions,Unidentified Artist,7th century,2022.151,Bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-24887-001.jpg
Rank Badge with Egret,Unidentified Artist,late 18th century,30.75.983,"Silk, metallic thread on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/79817.jpg
Buddhist Temple Streamer (one of a pair),Unidentified Artist,Unknown Date,65.38.8,"Guard: wood;  streamers: silk, metallic thread;  appliqué: silk, metallic thread;  lining: silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/182260.jpg
Piece,Unidentified Artist,19th century,91.1.48,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/3870.jpg
Mirror with parrots and flowers,Unidentified Artist,8th–9th century,17.118.96,Bronze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/17_118_96_37298.jpg
