Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Fragrance Container,Unknown,1736–95,1942.617.b,Jade,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1942.617.b/1942.617.b_web.jpg
Plate in the Form of a Chrysanthemum,Unknown,1700s–1800s,1970.144,Jade,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1970.144/1970.144_web.jpg
Mirror with Four Running Animals,Unknown,early 600s,1995.338,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.338/1995.338_web.jpg
Mirror with Four Spirits,Unknown,581–618,1995.339,Metalwork,"China, Sui dynasty (581-618)",https://openaccess-cdn.clevelandart.org/1995.339/1995.339_web.jpg
Lobed Mirror with Paired Phoenixes and Floral Displays,Unknown,700s,1995.348,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.348/1995.348_web.jpg
Square Mirror with Wan Symbol,Unknown,early 1000s,1995.368,Metalwork,"China, Liao dynasty (916-1125), Taiping period (1020-1030)",https://openaccess-cdn.clevelandart.org/1995.368/1995.368_web.jpg
Album of Daoist and Buddhist Themes: Kings of Hells: Leaf 35,Unknown,1200s,2004.1.35,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/2004.1.35/2004.1.35_web.jpg
Album of Daoist and Buddhist Themes: Search the Mountain: Leaf 46,Unknown,1200s,2004.1.46,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/2004.1.46/2004.1.46_web.jpg
Ewer,Unknown,800s,1966.145,Ceramic,"China, Hunan province, Tongguan, early Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1966.145/1966.145_web.jpg
Pair of Seated Buddhas,Unknown,1500s,1970.149,Sculpture,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1970.149/1970.149_web.jpg
Seated Buddha,Unknown,1500s,1970.149.2,Sculpture,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1970.149.2/1970.149.2_web.jpg
Food Steamer (Xian),Unknown,c. 1000 BC,1975.96,Metalwork,"China, late Shang dynasty (c.1600-c.1046 BC), Anyang phase (c.1250-1046 BC) to early Western Zhou dynasty (c. 1046-771 BC)",https://openaccess-cdn.clevelandart.org/1975.96/1975.96_web.jpg
Section of a Coffin Platform: Dragon,Unknown,550–577,1982.260.e,Sculpture,"China, Northern Qi dynasty (550-577)",https://openaccess-cdn.clevelandart.org/1982.260.e/1982.260.e_web.jpg
Court Lady with High Chignon,Unknown,c. 700–750,1983.25,Sculpture,"North China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1983.25/1983.25_web.jpg
Album of Daoist and Buddhist Themes: Search the Mountain: Leaf 41,Unknown,1200s,2004.1.41,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/2004.1.41/2004.1.41_web.jpg
Insects and Flowers,Unknown,c. 1900,1915.617,Painting,"China, Qing dynasty (1644-1911) or Republican period (1912-49)",https://openaccess-cdn.clevelandart.org/1915.617/1915.617_web.jpg
Rubbing of a Stone from the Tang-Fang Collection,Unknown,1900–1916,1919.75,Miscellaneous,"China, Qing dynasty (1644-1911) or Republican period (1912-49)",https://openaccess-cdn.clevelandart.org/1919.75/1919.75_web.jpg
Rubbing of a Stone from the Tang-Fang Collection,Unknown,1900–1916,1919.76,Miscellaneous,"China, Qing dynasty (1644-1911) or Republican period (1912-49)",https://openaccess-cdn.clevelandart.org/1919.76/1919.76_web.jpg
Rubbing of a Stone from the Tang-Fang Collection,Unknown,1900–1919,1919.77,Miscellaneous,"China, Qing dynasty (1644-1911) or Republican period (1912-49)",https://openaccess-cdn.clevelandart.org/1919.77/1919.77_web.jpg
Wine Cup with Monochrome Red Glaze,Unknown,1723–35,1940.978,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Yongzheng mark and reign (1723-35)",https://openaccess-cdn.clevelandart.org/1940.978/1940.978_web.jpg
