Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image,Museum
Marbled Bowl,Unknown,1100s,2012.449,Ceramic,"China, possibly Henan province, Xinwu, Dangyangyu, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/2012.449/2012.449_web.jpg,Cleveland Art Museum
Taihu Garden Stone,Unknown,0,2022.23,Stone,"China, Wuxi, Jiangsu province",https://openaccess-cdn.clevelandart.org/2022.23/2022.23_web.jpg,Cleveland Art Museum
Panel from Model Cooking Stove:  Vermilion Bird,Unknown,100–1 BC,1925.136,Ceramic,"China, from a tomb in Xi'an, Shanxi province, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1925.136/1925.136_web.jpg,Cleveland Art Museum
Streams and Mountains without End,Unknown,1100–1150,1953.126,Painting,"China, late Northern Song dynasty (960-1127) - Jin dynasty (1115-1234)",https://openaccess-cdn.clevelandart.org/1953.126/1953.126_web.jpg,Cleveland Art Museum
Mt. Qingbian,"Dong Qichang (Chinese, 1555–1636)",1617,1980.10,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1980.10/1980.10_web.jpg,Cleveland Art Museum
Fluted Cup with Dragon Handle,Unknown,early 1300s,1964.163,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1964.163/1964.163_web.jpg,Cleveland Art Museum
Leaping Carp,"Liu Jie (Chinese, c. 1447–1520s)",1368–1644,1977.55,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1977.55/1977.55_web.jpg,Cleveland Art Museum
Landscapes in Various Styles after Old Masters,"Mei Qing (Chinese, 1623–1697)",1690,1962.157,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1962.157/1962.157_web.jpg,Cleveland Art Museum
River and Mountains on a Clear Autumn Day,"Dong Qichang (Chinese, 1555–1636)",c. 1624–27,1959.46,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1959.46/1959.46_web.jpg,Cleveland Art Museum
The Lantern Night Excursion of Zhong Kui,"Yan Hui (Chinese, active 1270–1310)",late 1200s-early 1300s,1961.206,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1961.206/1961.206_web.jpg,Cleveland Art Museum
Landscape Album in Various Styles: The Stream of Wuling,"Zha Shibiao (Chinese, 1615–1698)",1684,1955.37.4,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1955.37.4/1955.37.4_web.jpg,Cleveland Art Museum
Bowl with Peonies,Unknown,c. 1100s,2001.107,Ceramic,"China, Shaanxi province, Tongchuan, Huangbaozhen, Jin dynasty (1115-1234)",https://openaccess-cdn.clevelandart.org/2001.107/2001.107_web.jpg,Cleveland Art Museum
Ewer,Unknown,618–907,2017.17,Ceramic,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/2017.17/2017.17_web.jpg,Cleveland Art Museum
Amida Buddha,Unknown,581–618,1964.152,Sculpture,"China, Sui dynasty (581-618)",https://openaccess-cdn.clevelandart.org/1964.152/1964.152_web.jpg,Cleveland Art Museum
Bowl with Dragons and Clouds,Unknown,1368–98,1964.222,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Hongwu period (1368-98)",https://openaccess-cdn.clevelandart.org/1964.222/1964.222_web.jpg,Cleveland Art Museum
Cabbage and Beetle,Unknown,mid-1700s,1966.376,Wood,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95) or earlier",https://openaccess-cdn.clevelandart.org/1966.376/1966.376_web.jpg,Cleveland Art Museum
Panel from Model Cooking Stove:  Raven Flanked by Snake-Entwined Tortoises,Unknown,100–1 BC,1925.139,Ceramic,"China, from a tomb in Xi'an, Shanxi province, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1925.139/1925.139_web.jpg,Cleveland Art Museum
"Album of Miscellaneous Subjects, Leaf 9","Fan Qi (Chinese, 1616-aft 1694)",early 1650s,1975.22.9,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1975.22.9/1975.22.9_web.jpg,Cleveland Art Museum
Standing Disciple Mahakasyapa Holding a Cylindrical Reliquary,Unknown,c. 550,1972.166,Sculpture,"China, Hebei province, Southern Xiangtangshan caves, Northern Qi dynasty (550-577)",https://openaccess-cdn.clevelandart.org/1972.166/1972.166_web.jpg,Cleveland Art Museum
Leisure Enough to Spare,"Yao Tingmei (Chinese, active mid-1300s)",1360,1954.791,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1954.791/1954.791_web.jpg,Cleveland Art Museum
Jar (Hu),Unknown,202 BC-AD 9,1989.15,Ceramic,"China, probably Henan province, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1989.15/1989.15_web.jpg,Cleveland Art Museum
Kneeling Winged Monster,Unknown,550–577,1957.360,Sculpture,"China, Hebei province, northern Xiangtangshan caves, North cave, Northern Qi dynasty (550-577)",https://openaccess-cdn.clevelandart.org/1957.360/1957.360_web.jpg,Cleveland Art Museum
